question,answer
An electric current flows in a path called what?,electric circuit
Electrical messages are carried by chemicals called what?,neurotransmitters
Where in the lungs does gas exchange between the air and blood takes place?,alveoli
"What kind of diet is typical for raptors, such as hawks and owls?",carnivorous
What occurs when a substance diffuses through a cell membrane without any help from other molecules?,simple diffusion
Drip iirigation requires less water and reduces what?,salinization
What is the basic unit of matter?,atoms
What types of energy is released during a chemical reaction?,"heat, electricity, light"
Where do producers in an ecosystem generally get their energy from?,the sun
More than half of all known organisms are what?,insects
What are a group of protists whose monophyly is well supported by molecular systematics?,alveolates
"Reproduction in prokaryotic cells is by what process of growth, enlargement and division?",binary fission
What are the bones in partly movable joints held in place by?,cartilage
Most plates are made up of a combination of what?,continental and oceanic lithosphere
The thick tunica media allows muscular arteries to play a leading role in what?,vasoconstriction
What is the term for getting used to something after being consistently exposed to it?,habituation
Sodium and chloride ions have equal but what charges?,opposite
"Kyphosis, lordosis, and scoliosis are all diseases involving improper curvature of which bodily structure (which is supposed to be curved in a certain way anyway)?",spine
Chordates are defined by a set of four characteristics that are shared by these animals at some point during their?,development
The chromosomal theory of inheritance proposed that what reside on chromosomes?,genes
"What is the largest mineral group, comprising over 90% of earth's crust?",silicates
Living organisms release carbon dioxide into the atmosphere by what method?,cellular respiration
Sudden changes in geologic and climatic conditions can spur what process?,evolution
What are found in moist forests that break down decaying plant material?,myriapoda
Lysosomes have what type of enzymes that break down old molecules into parts that can be recycled?,digestive
"What structures sweep laterally, hugging the pelvic walls, then turn medially and pierce the bladder wall obliquely?",ureters
Terrestrial biomes are classified by the climate and their what?,biodiversity
What part of the cell in plants and algae does photosynthesis take place?,organelles
What is the change in behavior based on experience?,learning
What class of organisms help decompose matter to release nutrients and make nutritious food for other organisms ?,fungi
"If a machine only changes the direction of a force without changing the ratio of the output/input forces, then what is its associated mechanical advantage?",1
What do you call aquatic biomes in the ocean?,marine biomes
Many pathogens spread by droplets in the air. droplets are released when a person does what?,coughs or sneezes
What force is perpendicular to velocity and causes uniform circular motion?,centripetal force
What type of equations allows calculation of the wavelength of any moving object?,debroglie wave
What is a small protein that helps fight infections?,cytokine
What kinds of rocks can change and become new types of rocks?,any types of rocks
Major climate types are based on what two things?,temperature & precipitation
A pulley is a simple machine that consists of a grooved wheel and?,a rope
What two element makes up a hyrdocarbon?,carbon and hydrogen
What type of competition occurs between members of the same species?,intraspecific
What is the generation of electricity using photovoltaic cells to split water molecules called?,photoelectrolysis
What term describes a property of a liquid based on the strength of its intermolecular forces?,vapor pressure
What unit of measurement is typically used for rainfall?,inches
What is made by trees and other plants during photosynthesis?,oxygen
What consists of two or more elements and forms as a result of a chemical reaction?,compound
"What important liquid is stored throughout the earth in the oceans, underground, and in ice?",water
Aging is associated with the death of what?,cells
What is the process of processing used material into new ones called?,recycling
Which part of a neuron contains the nucleus and most of the major organelles?,cell body
Bog destruction in scotland is an example of the widespread loss of what kind of habitat?,wetland
What are the building blocks of dna?,nucleotides
Why do people build dams and levees?,prevent flooding
What is the radula made mostly of?,chitin
What is the minimum number of pulleys needed for a compound pulley?,2
Trimethylamine is one of the substances responsible for the what of spoiled fish?,smell
"Lymph vessels are like blood vessels, except they move what instead of blood?",lymph
What mammalian class has the greatest ability to learn?,humans
Similarity that results from common ancestry is known as what?,homology
What term is used to describe a solution in which water is the solvent?,aqueous solution
What do you call a lens that causes the light rays to bend away from its axis?,diverging lens
"The electronic components in electronic devices, used to transmit and change electricity are made of?",semiconductors
What does the placenta sustain during pregnancy?,the fetus
What instrument made it possible to study pressure quantitatively?,barometer
Food is chemical energy stored in what?,organic molecules
"The earliest types of what lacked flowers, leaves, roots and stems?",plants
There are two basic body plans in cnidarians which are called the polyp and what else?,medusa
"Similarity in biochemicals, like the glucose used by virtually all living things for energy, provides evidence of what?",evolution
How is a mammal developed if not inside of a placenta or a pouch?,hatched from eggs
The skin plays an important role in preventing the escape of what commonly found liquid from the body?,water
A lake is an example of what type of biome?,freshwater biome
What consists of one or two closed loops through which current can flow?,electric circuit
"Most body fluids that you release from your body contain chemicals that kill pathogens. for example, mucus, sweat, tears, and saliva contain enzymes called?",lysozymes
What term is used to describe cells without a nucleus?,prokaryotic
What glands in the breast secrete milk?,mammary glands
What happens to light when it reflects from a rough surface?,gets diffused
Similarity of crystal structures is used to categorize what non-living materials?,minerals
What is the ideal mechanical advantage in the single fixed pulley?,1
"What are tiny, hair like projections?",cilia
"What structure shows the bonding between atoms, with dots representing available electrons?",lewis structure
Why did people stop adding lead to gasoline?,environmental pollution
The strength of bases is measured on what scale?,ph scale
What is the process of a confined gas escaping through a tiny hole in its container called?,effusion
"In science, what is supported by much evidence, widely accepted by credible scientists, and unlikely to be disproved?",theory
Cardiomyocytes are striated muscle cells found where?,in cardiac tissue
"Reducing the production of what gas, or removing it from the air, are practices that could reduce global warming?",carbon dioxide
"What is a small, relatively simple single-celled organism called?",prokaryote
What is the most important factor in determining the type of soil that forms in a particular area?,climate
What branch of science is the study of matter and energy?,physical science
Vertical layering is an important feature of the terrestrial type of what kind of community?,biome
What does ubiquitin indicate about a protein's lifespan?,completion
Protozoa can be classified on the basis of how they?,move
What do people apply to their lawns that causes water pollution?,chemicals
"Two important concepts, niche and habitat, are associated with what?",ecosystem
What property is the result of force acting on a given area?,pressure
"What is vital for nervous system functions that include muscle stimulation, memory formation, and learning?",acetylcholine
Tropical rainforests are an example of a climate that occurs near what?,equator
Is sweat an exocrine or endocrine substance?,exocrine
How many dimensions can humans see in?,three
What group of single-celled organisms lacking a nucleus comprises the most numerous organisms on earth?,prokaryotes
"Synthesis, decomposition, replacement, and combustion are all types of what reaction?",chemical
What system is the spinal cord related to?,nervous system
Where does visible light fall in between on the electromagnetic spectrum?,infrared light and ultraviolet light
What is the second stage of cellular respiration?,krebs cycle
What do you call the zone in a body of water where there is too little sunlight for photosynthesis?,aphotic zone
What phenomenon is primarily the result of plate tectonic motions?,earthquake
When did we learn there was a hole in the ozone layer?,1980s
"What disease, caused by vitamin c deficiency, causes bleeding gums, nosebleeds, and other symptoms?",scurvy
The angle at which light bends when it enters a different medium is known as what?,refraction
What type of prokaryotes live in habitats without oxygen?,anaerobic
What are scientists able to determine about stars using emission and absorption spectra?,composition
"What kind of process occurs naturally under certain conditions, unlike its opposite, which will not take place unless it is “driven” by the continual input of energy from an external source?",spontaneous process
"The large hadron collider is the biggest type of what invention, which boosts particles to high energies?",particle accelerator
What can happen spontaneously or as a result of mutagens in the environment?,mutations
What are physical properties that do not depend on the substance present called?,intensive properties
Science is a process of knowing about the natural universe through what two actions?,observation and experimentation
Autocrine signaling takes place within the same what?,cell
What term is used to describe when a liquid is the temperature at which its equilibrium vapor pressure is equal to the pressure exerted on the liquid by its gaseous surroundings?,boiling point
What is the process where light bounces back from surfaces that it cannot pass through?,reflection
What carries warm or cold water throughout the world’s oceans?,ocean currents
What provides the identities of the reactants and products involved in the chemical change?,chemical formulas
"In animal cells, what arises from the centrosomes and includes spindle microtubules and asters?",the spindle
Leaving tampons in for too long can put you at risk of what syndrome?,toxic shock
"Cold sores, influenza, and the common cold are all?",viral infections
Which latitudes get the most energy from the sun?,lowest latitudes
Where is the food stored before being mixed with the chyme?,fundus of the stomach
The reaction rate usually increases as the concentration of what increases?,reactants
Which process is glycolysis in during cellular respiration?,anaerobic
What is a stream of moving water that flows through the ocean?,current
What class of acids do carboxylic acids fall under?,organic acids
Newton’s third law of motion describes what property of forces that means balance?,symmetry
Cilia and flagella are extensions of what?,plasma membrane
Is wind power renewable or non renewable?,renewable
How many types of glands does the dermis contain?,two
What is the star-like structure inside the paramecia?,the contractile vacuole
"A transformer has two coils, electrically insulated from each other. one coil is called the primary coil and the other is called the what?",secondary coil
Organisms such as goldfish that can tolerate only a relatively narrow range of salinity are referred to as what?,stenohaline
"Plants, fungi, bacteria and archaea cells all have what feature that keeps them rigid that animal cells do not have?",cell walls
What is a process where some substances called reactants change chemically into different substances called products?,chemical reaction
The most common carbon atoms have six protons and six neutrons in their what?,nuclei
The similarity in biochemical compounds between living things provides evidence for the evolution of species from what?,common ancestors
Desert plants have evolved processes to conserve water and deal with harsh conditions. a more efficient use of co2 allows plants to adapt to living with what?,less water
Which type of muscle fiber can sustain long contractions?,slow fibers
What is the sum of the masses of the atoms in a molecule?,molecular mass
What is a common name for the descriptive hypothesis that help to understand patterns of descent?,evolutionary trees
"Unlike pure substances, mixtures have a what?",variable composition
Restoring nitrogen to the soil is one reason for what agricultural practice?,crop rotation
What is the name of the major components of cell membranes called?,phospholipids
Modern members of what broad animal group live in many different habitats and are found on every continent except antarctica?,reptiles
Mechanical energy can also usually be expressed as the sum of kinetic energy and what other kind of energy?,potential energy
Genes are organized to make the control of gene expression easier. the promoter region is immediately upstream of this?,coding sequence
In a pedigree what shape symbolizes males?,squares
Animals can transport what waste material in the circulatory system and store it safely at high concentrations?,urea
What is the amount of solute that can dissolve in a given amount of solvent at a given temperature?,solubility
The most magnetic material in nature is what?,magnetite
"Our sun is on the main sequence, like most stars, and it is classified by what colorful name?",yellow dwarf
The amount of kinetic energy in a moving object depends directly on its mass and what else?,velocity
Corals build hard exoskeletons that grow to become what?,coral reefs
What causes blue litmus to turn red?,acid
Where do you find the greatest biodiversity?,in the tropics
Internal metabolism and the external environment are the sources of heat for what?,thermoregulation
A small scale version of what type of map displays individual rock units?,geologic map
"Structural rearrangements of what include partial duplications, deletions, inversions, and translocations; duplications and deletions often produce offspring that survive but exhibit physical and mental abnormalities?",chromosomes
Opportunistic diseases are usually the direct cause of death of people with what disease?,aids
What is the name of the science that is concerned with naming and grouping organisms?,taxonomy
"Heat, electricity, or light might provide what necessary input to the process of decomposition?",energy
Which system transports oxygens to cells?,circulatory system
Are giraffes herbivores or are they omnivores?,herbivores
"Most plants grow continuously, except for what periods?",dormant
What type of force allows non-polar molecules to interact?,london dispersion
What is the smallest unit capable of life known as?,a cell
What type of cell does the sperm cell fertilize?,egg
What is a hydrocarbon in which the carbon chain joins to itself in a ring?,cyclic hydrocarbon
The temperature of the products is typically lower than the temperature of the reactants in what type of reaction?,endothermic
Ions move through what to maintain electrical neutrality in the cell?,the membrane
"At high altitudes, acclimatization increases red blood cells, so there is more what to help transport the available oxygen?",hemoglobin
"The variation in a sample can be represented by what quantity, which means the total spread of values?",range
"What is the name for the sinking of the dense, salty seawater in cold climates?",downwelling
What two gases are the main components of air?,nitrogen and oxygen
The two smallest carboxylic acids are formic acid and what else?,acetic acid
"A black solid by itself, this element is incredibly important because of what it makes when it combines with many other elements, including oxygen?",carbon
What are membrane-bound organelles with their own dna called?,plastids
Plants not only contribute food but what else for organisms?,oxygen
During what in the small intestine do rings of smooth muscle repeatedly contract and then relax?,segmentation
Salts of weak acids or bases can affect the acidity or what of their aqueous solution?,basicity
What do animals observe in others to help solve problems?,behavior
What rate is generally higher for endotherms than for ectotherms?,metabolic
Mendelian inheritance has its physical basis in the behavior of what?,chromosomes
Gene therapy is a type of what kind of engineering?,genetic engineering
Planes fly in what layer of the atmosphere because there is less friction and turbulence?,stratosphere
What term is used to describe a collection of molecules surrounded by a phospholipid bilayer that is capable of reproducing itself?,cell
Earthworms and segmented worms belong to what phylum?,annelida
Do placental mammals give birth to relatively small or large fetuses?,large
"The two complementary strands of what are separated, much like unzipping a zipper, in the initiation phase?",dna
What do loess deposits form?,vertical cliffs
"What are the names of foul-smelling amines, formed as a part of the decay process after death?",cadaverine and putrescine
"What process produces four haploid daughter cells, each genetically unique?",meiosis
The heme parts of a hemoglobin molecule bind with what element?,oxygen
Sexual reproduction is the combination of (usually haploid) reproductive cells from two individuals to form a third (usually diploid) unique offspring. sexual reproduction produces offspring with novel combinations of what?,genes
Producing sperm and secreting testosterone are the main functions of what system?,male reproductive system
"In humans, pharyngeal slits later develop into what?",middle ear
What do decomposers release when they break down dead organisms?,nutrients
What kind of energy is released when the nucleus of an atom is split?,nuclear
"What is a reaction in which an atom or molecule is added to an unsaturated molecule, making a single product?",an addition reaction
The resultant solution will contain the same amount of solute but a greater amount of what?,solvent
What two systems are the lungs part of?,respiratory and excretory
Muscle atrophy due to age is called what?,sarcopenia
What must two nuclei do for fusion to occur?,collide
"In vascular plants, the sporophyte generation is what?",dominant
What is the major source of warmth for earth?,the sun
What are prokaryotic cells filled with?,cytoplasm
Shivering helps the body return to a stable what?,temperature
What protects reptiles from drying out?,scales
What type of pressure may build up inside the cell when water moves into a cell by osmosis?,osmotic pressure
The prevalence of cervical cancer in the united states is very low because of regular screening exams called what?,pap smears
Name the type of system that a jellyfish does not have?,circulatory
What is the term for the method of sending out ultrasound waves to determine the locations of objects?,echolocation
The thalamus acts as a gateway to and from what?,cortex
"When light passes from one medium to another, it changes what?",speed
What protects a developing flower while it is still a bud?,sepals
The most common mode of asexual reproduction is through the formation of asexual these?,spores
In which area does conduction mainly happen?,lower atmosphere
What is formed when an acidic solution and a basic solution react together in a neutralization reaction?,salt
Some marine algae have evolved special structures capable of what plant process?,photosynthesis
What type of fertilization do most reptiles have?,internal
Controlling muscles and maintaining balance are just two of the roles of what system?,nervous system
What drives the turbine in a thermonuclear reactor?,heated water or steam
What is contained in the cavity of a long bone's central shaft?,marrow
Do particles collide more in two reactants when they are both in fluid forms or solid forms?,fluid
What human bodily function does cellulose help with?,moves food wastes
What property of certain states of matter can be given in units of millimeters of mercury?,pressure
The chemical used by the ants to weed their garden turns out to be what kind?,formic acid
"Pinocytosis or ""cellular drinking,"" occurs when the plasma membrane folds inward to form a channel allowing dissolved substances to enter what?",cell
How do all musical instruments create sound?,vibration
"By allowing blood levels of a hormone to be regulated within a narrow range, feedback loops contribute to maintaining what state?",homeostasis
What is the largest artery in the body called?,aorta
What do we call the locations where electrons are likely to be located around the nucleus?,orbitals
What is the name for substances with a ph above 7?,bases
Convection in which part of the earth drives the movement of the plates of lithosphere over the earth’s surface?,mantle
What is the the force of attraction that holds together ions?,ionic bond
"In harmonic motion there is always what force, which acts in the opposite direction of the velocity?",restorative force
What are the main organs for breathing in a mammal?,lungs
What is common in muscles that have become exhausted by use?,lactic acid fermentation
What are plant-like protists called?,algae
What is the term for geological activity that occurs within a plate?,intraplate activity
What are surface currents mainly caused by?,winds
What two planets is the asteroid belt found between?,mars and jupiter
"A minority of people on earth use up most of the planet's what, including energy?",resources
Almost all plants make food through what process?,photosynthesis
The root system is usually anchored by one main root developed from what?,embryonic radicle
What is the process in which organ systems work to maintain a stable internal environment?,homeostasis
"What can be formed by converging light rays behind a lens, onto a piece of film?",a photograph
Which gases trap heat in the atmosphere?,greenhouse
"When pumping blood, the hearts of animals with very long necks must overcome what force?",gravity
What harmful substance must not be drained into s storm sewer?,motor oil
The domain geometry for a molecule with four electron pairs is called what?,tetrahedral
What type of species can alternate between medusa and polyp forms?,cnidarian
To figure out the height of a wave you measure the distance between the crest and what?,trough
"Providing evidence of their ancestry, some species of what legless animals retain vestigial pelvic and limb bones?",snakes
"Movement of water and minerals in the xylem solutes, pressure, gravity, and matric potential are all important for what?",plant water transport
The temperature at which something melts is refered to as what?,melting point
What is the name for a way of learning that involves reward or punishment?,conditioning
"The goal of proteomics is to identify or compare what substances expressed from a given genome under specific conditions, study the interactions between them, and use the information to predict cell behavior or develop drug targets?",proteins
What is it called when the chance that a certain event will occur?,probability
Falling onto what joint can fracture the distal humerus?,elbow
What type of resource is water power?,renewable
What is used to measure blood pressure?,sphygmomanometer
What makes up most of the inside of a plant?,ground tissue
The posterior half of the foot is formed by seven tarsal bones. the most superior of these bones is called?,talus
What type of protein fibers in the cytoskeleton are the narrowest?,microfilaments
"Only a small percent of earth's water is what type, as opposed to saltwater?",fresh
What refers to the development and nourishment of an embryo within the mother’s body but not inside an egg?,vivipary
"When we move down a group of elements on the periodic table, what happens to their electronegativity?",it decreases
What do extensive properties depend on the amount of?,matter in a sample
What are the antibodies an animal produces after exposure to a microbial antigen?,polyclonal
"A few elements, called what, can conduct electricity, but not as well as metals?",metalloids
Inside each lymph node is a honeycomb of connective tissue with spaces filled by what?,white blood cells
Hair and nails are made of what?,keratin
What is the hinged structure attached to the cranium that allows an animal to grasp and tear its food?,jaw
What is the layer of electrons that encircle the nucleus at a distinct energy level called?,electron shell
"Gases such as co2 and methane can trap what energy in earth's atmosphere, before radiating it into space?",thermal energy
What occurs in a population when its allele frequencies change over time?,evolution
How are protozoa that cause giardiasis spread?,food and water
What grows through blue cheese that gives it the distinctive appearance and flavor?,fungus
What are used to balance chemical equations?,coefficients
Hydras and sea anemones are examples of what form?,polyp
"What property of carbon and other elements can be used to date fossils and rocks, among other things?",half-life
"The lungs perform gas exchange using air and what fluid, which is coming and going from the heart?",blood
What is an important level of organization in ecology and the unit of microevolution?,population
How many types of major tissues do modern plants have?,three
What component of cells is present in plant and bacterial cells but not animal cells?,cell wall
What type of energy does chemosynthesis use to make food?,chemical energy
What organisms known as decomposers break down wastes and dead organisms into smaller molecules?,bacteria
Ocean water appears cyan because microbes in the water preferentially absorb what color of light?,red
What map shows the locations of several genes on the x chromosome?,the linkage map
Amplification that occurs in which cells often requires signal transduction pathways involving second messengers?,sensory receptor
What are the chemical messengers used to communicate between cells?,hormones
Ocean acidification results from the ocean absorbing what gas from the atmosphere?,carbon dioxide
"Mosses, liverworts, and hornworts are examples of what type of plant in which gametophyte generation is dominant?",nonvascular plants
The grasp reflex in humans is an example of what kind of behavior?,innate
What are the two layers of the skin?,epidermis and dermis
The waste of cows releases a lot of which type of gas?,methane
The main functions of what complex carbohydrates are to store energy and form structural tissues?,polysaccharides
Continuous-flow reactors are chemical reaction vessels in which the what are mixed and allowed to react as they flow along a tube?,reactants
What structures of the cardiovascular system help regulate body processes by either constricting or dilating?,blood vessels
What is the name for medical doctors that specialize in the diagnosis and treatment of diseases of the heart?,cardiologists
What is the temperature at which condensation of water vapor occurs called?,the dew point
"In science, what is a bit of information that is true?",a fact
Making a specific prediction based on a general principle is known as what type of reasoning?,deductive reasoning
Natural convection is driven by what forces?,buoyant
Organisms tend to be larger in size at higher what levels?,trophic
"Normally, only traces of protein are found in urine, and when higher amounts are found, damage to what is the likely cause?",glomeruli
What is the measure of sound intensity levels?,decibels
"The photoreceptive cells of the eye, where transduction of light to nervous impulses occurs, are located in this?",retina
What do red blood cells carry?,oxygen
Where in the cell does transcription occur?,nucleus
"Because fungi feed on decaying and dead matter, they play what important role by releasing essential elements into the environment?",decomposers
What takes both the shape and the volume of their container?,gases
Precipitation maps show the amount of what in different areas?,rainfall
"Noninfectious diseases can't be passed from one person to another. instead, these types of diseases are caused by factors such as environment, genetics and what?",lifestyle
Which plants sometimes colonize areas by disrupting interactions between native organisms?,invasive exotic plants
What is the term for the span in the life of an organism from one generation to the next?,life cycle
What stimulates the changes of pubery?,sex hormones
Original atoms are called what type of isotopes?,parent
Fertilizer runoff can create what type of zones in the ocean?,dead zones
Colloids are used industrially as what?,catalysts
What illnesses are caused by damage to the alveoli of the lungs?,pneumonia and emphysema
Most members of what mammalian order possess opposable thumbs?,primates
Which germ layers are essential for animal embryos to grow and develop into a body?,"endoderm, ectoderm, mesoderm"
What type of scale is the richter scale?,logarithmic
The entropy is decreasing because a gas is becoming a what?,liquid
"Another unit of energy, used widely in the health professions and everyday life, is _______?",calorie ( cal )
Unburned hydrocarbons can more easily be converted to carbon dioxide and water in the presence of a what?,catalyst
"In most crustaceans, what two structures fuse to form a cephalothorax?",head and thorax
What is the process by which producers use the energy in sunlight to make food?,photosynthesis
What is the most significant cause of respiratory disease as well as cardiovascular disease and cancer?,smoking
What type of tissue is blood?,connective
By what process does the haploid gametophyte produce the gametes?,mitosis
What is the connecting piece of a sperm packed with?,mitochondria
What is the oxygen-storing protein found in diving mammals' muscles called?,myoglobin
What is the term for the horizontal displacement of a projectile from its starting point?,range
"Within the chloroplast, synthesis of what takes place in the fluid inside the inner membrane called the stroma?",sugar
What is the enlarged tip of the penis called?,glans penis
Diffusion is an effective transport mechanism over the spatial scales typically found at what level?,cellular
The total energy assimilated by an ecosystem in a give period is known as what?,gross primary production
What kind of bees are most adult bees in a hive?,worker bees
What elements do mafic minerals typically include?,iron and magnesium
Metabolism includes both anabolic and which other reaction?,catabolic
What common air pollutant is characterized by its sharp odor and often triggers asthma attacks?,nitrogen dioxide
What group of animals has permeable skin that makes them vulnerable to pollution?,amphibians
"If the amount of force of that is applied is increased, what happens to the work that a machine is producing?",it is easier
What is the scientific term for the act of eating or feeding?,ingestion
What term means the minimum energy required in order for a collision between molecules to result in a chemical reaction?,activation energy
Cardiac muscle is only found where?,heart
"Stirring, surface area, and temperature affect the rate at which what occurs?",solute dissolves
"In science, what do we call a mathematical relationship that exists between observations under a given set of conditions?",law
How many identical daughter cells are created at the end of cytokinesis?,two
Vertebrates lacking what structures often use lungs for gas exchange?,gills
A hair grows out of a follicle and passes through what before extending above the skin surface?,epidermis
The carbon cycle can be thought of in terms of two interdependent cycles - cellular respiration and what else?,photosynthesis
What is the name of an extreme form of radiation fog?,tule fog
"""cardio"" has become slang for what type of exercise that raises your heart rate for an extended amount of time?",aerobic
How do you test a hypothesis?,conduct experiments
A doorknob and a ferris wheel are examples of what type of simple machine?,wheel and axle
A measure of how close a series of measurements are to one another is what?,precision
The electromagnetic spectrum represents the full range of frequency of what type of wave?,electromagnetic
"In a cell cycle, what kind of regulator molecules allow advancement to the next stage?",positive
Vertebrates with four limbs are also called what?,tetrapods
What type of tissue consists of cells that cover inner and outer body surfaces?,epithelial?
"The biological electron transport chain provides for an orderly, stepwise transfer of electrons. both nadh (reduced nicotinamide adenine dinucleotide) and fadh2 (reduced flavin adenine dinucleotide) are energy rich molecules that liberate a large amount of energy during what?",oxidation
How are layers of the atmosphere divided?,temperature gradients
"Pauropods, presumed relatives of millipedes usually found in soil, leaf litter and other moist places, live on all continents except what?",antarctica
Alpha and beta decay occur when a nucleus has too many protons or an unstable ratio of what?,protons to neutrons
What term decribes the amount of time required for half of the original material to decay in an isotope?,half-life
What type of bacteria are sometimes used as weapons of bioterrorism?,pathogenic
What is a gram stain used to identify ?,different types of bacteria
What are groups of atoms that behave as a single unit called?,molecules
What is produced during the light reactions in photosynthesis?,oxygen
Alkenes can react with what to form alcohols?,water
"What is the enclosed, fluid-filled membrane that surrounds and protects the fetus and is attached to the placenta?",amniotic sac
What process enables all living things to maintain a constant internal environment?,homeostasis
Collisions between hydrogen atoms demonstrate one form of what?,nuclear fusion
Some viruses carry a few viral enzyme molecules within their what?,capsids
A _______ of biology is a fundamental concept that is just as true for a bee or a sunflower as it is for us.,principle
What is the term for if multiple sperm fuse with an egg?,polyspermy
What term refers to an animal that sleeps during the day and is active at night?,nocturnal
Where are the taste buds located in humans?,tongue
What is the name of the procedure where an unknown compound can be analyzed in the laboratory in order to determine the percentages of each element contained within it?,elemental analysis
What is defined as a push or pull acting on an object?,force
The white fluffy part of popcorn is also what?,endosperm
What is the gel-like material between the cell membrane and the nucleus called?,cytoplasm
What is the average number of individuals per unit of area or volume called?,population density
Mutualism is a symbiotic relationship that has what effect on both species involved?,beneficial
"Over many generations, the resulting genetic diversity provides valuable raw material for what?",natural selection
What is the permanent prevention of gamete production or release called?,sterilization
"Of all the mineral nutrients, what contributes the most to plant growth and crop yields?",nitrogen
What is responsible for the physical changes of puberty?,testosterone
"A protein’s shape is determined, most fundamentally, by the sequence of what type of acids?",amino
"According to collision theory, particles that lack what kind of energy may collide, but the particles will simply bounce off one another unchanged?",kinetic energy
"In science, what process produces evidence that helps answer questions and solve problems?",investigation
"Like the stem, what basic plant structure contains vascular bundles composed of xylem and phloem?",leaf
Does the force of magnetism increase or decrease as the distance between objects increases?,decrease
"What properties describe the existence of matter, as opposed to chemical properties that describe how substances change into other substances?",physical
Scientists think the solar system formed from a big cloud of gas and dust called what?,nebula
"Most crustaceans have separate sexes, so they reproduce sexually using what?",eggs and sperm
All of the living things in an area and the nonliving environment together make up what?,ecosystem
"For skeletal development, the most common template is what?",cartilage
What is the standard unit for mass?,kilogram
"In recent years, it has been hypothesized that molecules in the environment also act as?",endocrine disruptors
What is the name of the blood protein that carries oxygen from the lungs to the body's assorted tissues?,hemoglobin
The rate of evaporation depends only on the surface area of the liquid and is essentially constant. the rate of condensation depends on the number of molecules in the vapor phase and increases steadily until it equals the rate of this?,evaporation
